Semente,Gerações,Indivíduo_mais_apto,Adaptação,Índice_de_Convergência,alfa_0,e
0,300,G299_2,2.89146976371646,0.9945605263157892,10,0.4
1,300,G300_2,4.0402909904868505,0.9963396121883652,10,0.4
2,300,G300_11,3.0209205020920518,0.9962973684210524,10,0.4
3,300,G300_3,3.9779614325068873,0.9954750692520772,10,0.4
4,300,G297_17,3.117443868739206,0.9955602493074786,10,0.4
5,300,G300_9,2.634075155052901,0.9965577562326864,10,0.4
6,300,G300_3,3.19186560565871,0.9965403047091408,10,0.4
7,300,G299_41,2.652461425422484,0.9951909972299164,10,0.4
8,300,G297_21,3.4137115839243517,0.9962105263157888,10,0.4
9,300,G300_14,2.9871741828713283,0.997676731301939,10,0.4
10,300,G300_45,2.9663105998356616,0.9963574792243763,10,0.4
